index,project_name,address,floor_area_sqm,type_of_land,contract_date,property_type,tenure,completion_date,type_of_sale,postal_district,postal_sector,postal_code,region,area,month,latitude,longitude,floor_num,unit_num,price
3766,D'LEEDON,11 Leedon Heights  #06-31 ,92,Strata,29-Sep-2017,Condominium,99 Yrs From 08/04/2010,2014,Resale,10,26,267955,Central Region,Bukit Timah,2017-9,1.31621028392,103.80438832700001,6.0,31.0,1579167
3767,MERGUI MANSIONS,81 Mergui Road  #03-02 ,129,Strata,29-Sep-2017,Apartment,Freehold,1995,Resale,8,21,219057,Central Region,Kallang,2017-9,1.31717013295,103.851681828,3.0,2.0,1293101
3768,MIMOSA PARK,43 Mimosa Road  #03-49 ,176,Strata,29-Sep-2017,Condominium,Freehold,1979,Resale,28,80,808005,North East Region,Serangoon,2017-9,1.38335840105,103.862457015,3.0,49.0,1552067
3769,THE PALETTE,115 Pasir Ris Grove  #03-42 ,46,Strata,29-Sep-2017,Condominium,99 Yrs From 20/10/2010,2015,Resale,18,51,518172,East Region,Pasir Ris,2017-9,1.3696952873100001,103.945073055,3.0,42.0,599391
3770,RV RESIDENCES,469 River Valley Road  #07-30 ,120,Strata,29-Sep-2017,Condominium,999 Yrs From 21/06/1877,2015,Resale,10,24,248354,Central Region,Tanglin,2017-9,1.294296,103.828132,7.0,30.0,2415504
3771,CHILTERN PARK,135 Serangoon Avenue 3  #09-08 ,85,Strata,29-Sep-2017,Condominium,99 Yrs From 01/03/1991,1995,Resale,19,55,556114,North East Region,Serangoon,2017-9,1.3501952678,103.86310308700001,9.0,8.0,878906
3772,THE SPRINGSIDE,204 Springside Avenue ,164,Land,29-Sep-2017,Terrace House,Freehold,2016,Resale,26,78,786050,North Region,Yishun,2017-9,1.40572268112,103.865898554,,,2798631
3773,THE WATERSIDE,3 Tanjong Rhu Road  #11-02 ,224,Strata,29-Sep-2017,Condominium,Freehold,1992,Resale,15,43,436881,Central Region,Kallang,2017-9,1.29755452549,103.884440936,11.0,2.0,3434118
3774,SERANGOON GARDEN ESTATE,39A Tavistock Avenue ,247,Land,29-Sep-2017,Semi-Detached House,999 Yrs From 01/01/1954,1995,Resale,19,55,555142,North East Region,Serangoon,2017-9,1.36969704919,103.86321493700001,,,2842161
3775,RIVERSAILS,10 Upper Serangoon Crescent  #02-29 ,128,Strata,29-Sep-2017,Condominium,99 Yrs From 07/12/2011,2016,Resale,19,53,534031,North East Region,Hougang,2017-9,1.3787511810799997,103.903047787,2.0,29.0,1260871
3776,THE WOODGROVE,3 Woodgrove Drive  #03-04 ,96,Strata,29-Sep-2017,Apartment,99 Yrs From 26/06/1996,1998,Resale,25,73,738230,North Region,Woodlands,2017-9,1.4288209135799999,103.781488759,3.0,4.0,712313
3777,ONE BALMORAL,1A Balmoral Road  #05-07 ,131,Strata,29-Sep-2017,Condominium,Freehold,2016,Resale,10,25,259821,Central Region,Tanglin,2017-9,1.3138882173100002,103.829776363,5.0,7.0,3092217
3778,BAYSHORE PARK,66 Bayshore Road  #11-09 ,87,Strata,29-Sep-2017,Condominium,99 Yrs From 17/03/1982,1986,Resale,16,46,469985,East Region,Bedok,2017-9,1.3107692120299999,103.93801426799999,11.0,9.0,823725
3779,CLOVER BY THE PARK,2 Bishan Street 25  #31-04 ,116,Strata,29-Sep-2017,Condominium,99 Yrs From 10/09/2007,2011,Resale,20,57,573973,Central Region,Bishan,2017-9,1.35924271863,103.845377304,31.0,4.0,1511166
3780,THE CASCADIA,941 Bukit Timah Road  #06-46 ,139,Strata,29-Sep-2017,Condominium,Freehold,2010,Resale,21,58,589658,Central Region,Bukit Timah,2017-9,1.33347473531,103.78713696,6.0,46.0,2199244
3781,HERITAGE VIEW,6 Dover Rise  #16-07 ,108,Strata,29-Sep-2017,Condominium,99 Yrs From 12/08/1996,2000,Resale,5,13,138678,Central Region,Queenstown,2017-9,1.30371553199,103.783858579,16.0,7.0,1357755
3782,DUCHESS CREST,50 Duchess Avenue  #03-04 ,194,Strata,29-Sep-2017,Condominium,99 Yrs From 24/06/1995,1998,Resale,10,26,269196,Central Region,Bukit Timah,2017-9,1.3244982809299999,103.80383269200001,3.0,4.0,2329558
3783,JARDIN,966 Dunearn Road  #07-09 ,160,Strata,29-Sep-2017,Condominium,Freehold,2012,Resale,21,58,589488,Central Region,Bukit Timah,2017-9,1.3376843985200002,103.780147955,7.0,9.0,2750768
3784,CARISSA PARK CONDOMINIUM,2 Flora Drive  #01-04 ,153,Strata,29-Sep-2017,Condominium,Freehold,2001,Resale,17,50,507025,East Region,Pasir Ris,2017-9,1.3587841638100002,103.96363285,1.0,4.0,1282906
3785,THE ARIZON,538 Geylang Road  #03-05 ,88,Strata,29-Sep-2017,Apartment,Freehold,2010,Resale,14,38,389493,Central Region,Geylang,2017-9,1.3137589812100001,103.886585796,3.0,5.0,868632
3786,REGENTVILLE,12 Hougang Street 92  #09-07 ,100,Strata,29-Sep-2017,Apartment,99 Yrs From 24/04/1996,1999,Resale,19,53,538688,North East Region,Hougang,2017-9,1.37374269027,103.877937302,9.0,7.0,772766
3787,REGENTVILLE,2 Hougang Street 92  #11-07 ,100,Strata,29-Sep-2017,Apartment,99 Yrs From 24/04/1996,1999,Resale,19,53,538683,North East Region,Hougang,2017-9,1.37408797757,103.87835631200001,11.0,7.0,811864
3788,N.A.,2 Jalan Krian ,293,Land,29-Sep-2017,Terrace House,Freehold,1992,Resale,14,41,419059,East Region,Bedok,2017-9,1.3238884577399999,103.915000922,,,2839100
